	LL-score	MWE-ru accented	Translation	Examples	Translation
44	10825	к приме́ру	for example	Не люблю, когда гости приходят неожиданно, а у меня, к примеру, не убрано.	I don't like it when guests come unexpectedly and, for example, my house isn't tidy.
45	10811	в основно́м	mainly	Питаются эти птицы в основном насекомыми.	These birds eat mainly insects.
46	10711	во всяком слу́чае	in any case	Неясно, на кого оно было рассчитано, но уж во всяком случае, не на человека в скафандре.	It's unclear who it was intended for, but, in any case, it wasn't for the man in the spacesuit.
47	10423	молодо́й челове́к	young man	Да-да, я имею в виду вас, молодой человек.	Yes, yes, I mean you, young man.
48	10359	с трудо́м	with difficulty, hard	Он с трудом встал.	He found it hard to get up.
49	10302	речь идёт о	the question is, the issue is, I'm talking about	Она даже и не поняла, о чем идет речь.	She didn't even realise what the issue was.
50	10280	со вре́менем	over time, with time	Опыт приходит со временем.	Experience comes with time.
51	10230	чуть ли не	almost	Традиция эта длится чуть ли не с первого курса.	This tradition has been in place almost since the first year at university.
52	9868	на протяже́нии	during, over	На протяжении веков она вдохновляла художников, музыкантов и писателей.	Over the centuries she has inspired artists, musicians and writers.
53	9866	за исключе́нием	with the exception, but	Все солдаты, за исключением одного, быстро поднялись.	All but one soldier quickly got to their feet.
54	9866	едва́ ли	hardly, unlikely	Обосновать научно эти явления едва ли возможно.	It's unlikely that these phenomena can be scientifically substantiated.
55	9659	по су́ти	in essence	Для нас это, по сути, было компромиссное решение.	For us this is in essence a compromise.
56	9508	с уваже́нием	with respect	Все о нем говорят с уважением и любовью.	Everyone speaks of him with respect and affection.
57	9456	с то́чки зре́ния	from the point of view	И хотя сейчас он - знаменитый артист, жизнь продолжает воспринимать по-прежнему, с точки зрения врача.	And although he's now an eminent artist, he still perceives life as before, from the point of view of a doctor.
58	9420	в порядке	in order, okay, by way of	Передайте, что я жив и у меня все в порядке / Они решили в порядке эксперимента поменяться машинами.	Say that I'm alive and that everything is okay. / They decided to swap cars by way of an experiment.
59	9322	окружа́ющая среда́	environment	Это  представляет большую опасность для окружающей среды.	It presents a great danger to the environment.
60	9206	с удово́льствием	with pleasure, love to	Он бы с удовольствием купил эту квартиру, да денег нет.	He would love to buy the flat, but he doesn't have the money.
61	9109	в пе́рвую о́чередь	first of all, first	В первую очередь удалите сухие, поломанные и больные ветки.	First remove the dry, broken and diseased branches.
62	8874	с учётом	taking into account	Будем надеяться, что теперь вопрос разрешится в законном порядке и с учетом мнения жителей.	Let us hope that this issue will now be resolved legally and that the opinions of residents will be taken into account.
63	8657	тем не ме́нее	nevertheless, still,	Цены фантастические, и тем не менее стадион забит до отказа.	The prices are sky-high, yet the stadium is still packed.
64	8631	вро́де бы	seemingly, as if	Сначала все шло вроде бы неплохо.	At first, everything seemed to be going well.
65	8590	в хо́де	in progress, in the course	Военнослужащий погиб в ходе контртеррористической операции.	The soldier was killed in the course of a counter-terrorist operation.
66	8547	далеко́ не	nowhere near, not nearly	И это далеко не все возможности автомобиля.	And that's nowhere near all what the car can do.
67	8242	ме́стное самоуправле́ние	local government	Реформы в области местного управления при Екатерине II оставили более глубокий след.	Local government reforms made under Catherine the Great left a deeper impression.
68	8118	в при́нципе	in principle	В принципе, меня это вполне устраивает.	In principle, I'm very happy with it.
69	8022	за́работная пла́та	wage	В среднем рост заработной платы в этих отраслях составил 200%.	The average pay rise in these industries was 200 percent.
70	7904	вну́тренних дел	internal affairs	Только за 1997 год органами внутренних дел выявлено 848 подпольных лабораторий.	In 1997 alone internal affairs agents found 848 clandestine laboratories.
71	7713	до́лгое вре́мя	long time	Долгое время я была в него влюблена.	I was in love with him for a long time.
72	7686	к тому́ же	in addition	Парень он был симпатичный, к тому же играл на гитаре и занимался спортом.	He was a handsome boy; in addition, he played the guitar and was sporty.
73	7676	как бы	as it were, as if	Он смотрит наверх как бы в ожидании очередного удара.	He's looking up as if he's expecting another blow.
74	7640	сле́дующим о́бразом	in the following way, thus	Грибы в сметане готовят следующим образом: грибы укладывают на сковороду …	Mushrooms in sour cream are cooked in the following way: you put the mushrooms in the frying pan …
75	7610	се́льского хозяйства	agriculture	Они вкладывают деньги в развитие сельского хозяйства.	They are pumping money into developing agriculture.
76	7491	в лу́чшем слу́чае	at best, at the most	Такой пленки хватит в лучшем случае на один сезон.	This film will last for a season at the most.
77	7479	обрати́ть внима́ние	pay attention	Сначала, честно говоря, я обратил внимание на ее ноги.	To be honest, at first I paid attention to her legs.
78	7415	и др.	and others	В программе фестиваля: выступления Николая Петрова, Александра Гиндина и др.	The festival programme includes performances from Nikolay Petrov, Aleksandr Gindin and others.
79	7304	при усло́вии	on condition, provided that	Этим умением может овладеть любой при условии регулярной тренировки.	Anyone can master this technique, provided that they train regularly.
80	7295	в отли́чие от	unlike	У меня, в отличие от него, нет ни яхты, ни виллы.	Unlike him I don't have a yacht or a villa.
81	7292	иностра́нных дел	foreign affairs	Это вынуждены были признать министры иностранных дел стран - членов ЕС.	Foreign affairs ministers from EU member states were forced to admit it.
82	7262	по доро́ге	on the way	Мария Ивановна по дороге в поликлинику сломала руку.	Mariya Ivanovna broke her arm on the way to the clinic.
83	7254	с тех пор	since then, since that time	С тех пор его никто не видел.	Nobody has seen him since then.
84	7145	за рубежо́м	abroad	Изобретение запатентовано и в России, и за рубежом.	The invention is patented both in Russia and abroad.
85	7129	де́ло в том	the fact is	Уверен, все дело в том, что я был новичком в этой команде.	I'm certain that it's just because I was new in the team.
86	7082	должно́ быть	must, must be	Должно быть, к этому моменту они уже спали.	They must have already been sleeping by then.
87	6905	в си́лу	into force, by virtue, because	Настоящее постановление вступает в силу со дня его подписания. / Этот случай далее не рассматривается в силу своей тривиальности.	This act will come into force as soon as it is signed. / Because of its triviality this case will no longer be considered.
88	6751	по и́мени	by name	Он почему-то всегда выбирает девушек по имени Марина.	For some reason he always picks girls called Marina.
89	6721	в зави́симости от	depending on, according to	Вы можете отрегулировать температуру в зависимости от времени суток.	You can regulate the temperature according to the time of the day.
90	6707	за преде́лами	beyond	Объяснение этого феномена лежит за пределами научного знания.	An explanation of this phenomenon is beyond scientific knowledge.
91	6701	как ми́нимум	at least	На это у меня ежедневно уходит  как минимум два часа.	I spend at least two hours on this every day.
92	6694	на фо́не	amidst, against, against the backdrop of	Встреча состоялась на фоне резкого обострения международного конфликта.	The meeting took place amidst a dramatic exacerbation of the international conflict.
93	6661	в очередно́й раз	again	Нас в очередной раз обманули!	We were cheated again!
94	6567	име́ть пра́во	have the right	Он не имеет права это делать.	He doesn't have the right to do this.
95	6351	день рожде́ния	birthday	Что бы ты хотел получить на день рождения?	What would you like for your birthday?
96	6306	пока́ не	until	Я решил не жениться до тех пор, пока не встречу идеальную женщину.	I decided not to get married until I met the ideal woman.
97	6240	в том числе́	including	Многие из них, в том числе и дети, больны астмой.	Many of them, including children, suffer from asthma.
98	6169	за грани́цей	abroad	У тебя есть родственники за границей?	Do you have any relatives abroad?
99	6124	исполни́тельная власть	executive powers	Необходимо отменить все решения исполнительной власти, нарушающие международное право в отношении безработных.	It is necessary to annul all the decisions made by the executive powers that violate international law in relation to the unemployed.
100	6095	по существу́	to the point, in essence	Давайте говорить по существу. / Реформа, по существу, ограбила их.	Let's get to the point. / They were essentially robbed by the reform.
101	6082	до́брый день	hello	Алло, добрый день, Толю можно?	Hello, can I speak to Tolya?
102	6021	на основа́нии	on the basis, on the grounds	На каком основании вы это утверждаете?	On what grounds do you claim this?
103	6015	бо́лее чем	more than	Одной минуты будет более чем достаточно.	One minute will be more than enough.
104	5946	в преде́лах	within	Атмосферное давление на протяжении всей недели удержится в пределах нормы.	Atmospheric pressure will keep within the normal range all week.
105	5918	Вели́кая Оте́чественная война́	Great Patriotic War, Second World War	Он участник Великой Отечественной войны, имеет награды.	He fought in the Second World War; he has medals.
106	5895	изо всех сил	for all one's worth, with all one's strength, as much as one can	Мы стараемся изо всех сил.	We are trying as much as we can.
107	5870	по да́нным	according to data	По данным зарубежной прессы, в последний раз его видели на одном из горнолыжных курортов.	According to the foreign press, he was last seen at a skiing resort.
108	5834	в связи́ с	in connection with, on account of	Их подзащитного придется освободить в связи с истечением срока давности.	Their defendant will have to be released on account of the expiration of the statute of limitation.
109	5797	по мне́нию	in the opinion	Еще 15 тысяч лет, по мнению ученых, продлится относительно теплая эпоха.	In the opinion of scientists, the relatively warm period will last another 15 thousand years.
110	5639	це́лый ряд	a whole number, many	У нас возник целый ряд сложностей.	We had many complications.
111	5529	под влиянием	under the influence	А потом под влиянием друга я решил поступать в Московский архитектурный институт.	And then, influenced by a friend, I decided to study at the Moscow Architectural Institute.
112	5528	под руково́дством	under the leadership, under the supervision	И только потом ученика допускают до практических занятий под руководством инструкторов.	And only then is the pupil allowed to take practical lessons under the supervision of an instructor.
113	5491	то́чка зре́ния	point of view, opinion	Вы знаете, у меня другая точка зрения.	I have a different opinion, you know.
114	5449	генера́льный дире́ктор	general director	На планерках генеральный директор ставил меня в пример сотрудникам.	At the briefing the general director held me up as an example to the workforce.
115	5420	во главе́ с	led by, under the command of	Он был арестован прямо в Кремле группой генералов во главе с маршалом Жуковым.	He was arrested right in the Kremlin by a group of generals led by Marshal Zhukov.
116	5382	о́бе сто́роны	both sides, both parties	Для этого необходимо письменное согласие обеих сторон.	Written consent from both parties is needed for this.
117	5364	о́браз жи́зни	lifestyle, way of life	Он ведет малоподвижный образ жизни.	He leads a sedentary way of life.
118	5334	по а́дресу	to (address)	Замечания и пожелания вы можете отправлять по адресу XXX@YYY.ru	Your comments and suggestions can be sent to XXX@YYY.ru
119	5245	в конце́ концо́в	eventually, in the end	Родители невесты долго колебались, но в конце концов согласились.	The bride's parents hesitated, but agreed in the end.
120	5200	в по́льзу	in favour	Суд решил дело в пользу режиссера.	The court ruled in favour of the director.
121	5126	до́брый ве́чер	good evening	Добрый вечер, уважаемые радиослушатели.	Good evening, dear listeners.
122	5126	че́стно говоря	honestly speaking, to be honest	При личном общении он меня, честно говоря, разочаровал.	To be honest, I was disappointed when I met him in person.
123	5116	в да́нном случае	in this case	Возмущаться в данном случае бессмысленно.	In this case there's no point getting angry.
124	5107	всё равно́	all the same	Делайте, что хотите, мне все равно.	Do what you want; it's all the same to me.
125	5036	сла́ва бо́гу	thank Heaven, thank God	Ту зиму мы в тепле, слава богу, прожили.	That winter we lived in warmth, thank God.
126	4991	гражда́нское о́бщество	civil society	Собственность и семья составляют фундамент гражданского общества.	Property and family are the fundaments of a civil society.
127	4931	по ме́ре	if and when	Растения поливают по мере необходимости.	Plants are watered if and when necessary.
128	4922	вы́йти за́муж	get married	Одна из них недавно вышла замуж.	One of them recently got married.
129	4862	рабо́чая си́ла	work force, labour	Без китайской и корейской рабочей силы нам Сибирь не поднять.	We won't be able to develop Siberia without Chinese and Korean labour.
130	4845	правоохрани́тельные о́рганы	law enforcement agencies	Необходимы срочные меры со стороны правоохранительных органов.	Law enforcement agencies need to take urgent measures.
131	4844	ра́но или по́здно	sooner or later	Человек все равно рано или поздно от чего-то умирает.	Sooner or later people nevertheless die from something.
132	4824	во и́мя	in the name	Мы действуем во имя мира и свободы.	We are acting in the name of peace and freedom.
133	4763	гла́вный реда́ктор	chief  editor	Сотрудника газеты вызвал к себе главный редактор.	The chief editor called in one of the newspaper's employees.
134	4763	по дела́м	on issues of, on business	Эту проблему помог решить городской комитет  по делам молодежи. / Он уехал по делам, будет завтра.	The town youth affairs committee helped solve the problem. / He's away on business; he'll be back tomorrow.
135	4721	програ́ммное обеспече́ние	software	Современная техника и программное обеспечение позволяют автоматизировать любые технологические операции.	Modern technology and software make it possible to automate any technological process.
136	4685	при нали́чии	present, subject to the existence of, having	Каждый покупатель при наличии пенсионного удостоверения может получить скидку в размере 10 %	Every shopper who has a pension card is entitled to a 10% discount.
137	4663	в глаза́х	in the eyes of	В глазах общественности он играет роль безвинной жертвы произвола.	In the eyes of the public he plays the role of an innocent victim of tyranny.
138	4607	уче́бные заведе́ния	education institution	Как входят в реальную жизнь бывшие воспитанники этих учебных заведений?	How do former students of these education institutes get on in the real world?
139	4567	одни́м сло́вом	in a word	У меня нет постоянного жилища,  я путешествую из города в город, одним словом – бродяга.	I have no permanent home, I travel from town to town; in a word – I'm a vagrant.
140	4557	принять уча́стие в	take part in	В работе круглого стола приняли участие свыше 100 человек.	More than 100 people took part in the round table.
141	4557	вообще́ не	at all, whatsoever	Она вообще не имела права спрашивать ребенка ни о чем.	She had no right to ask the child about anything at all.
142	4547	а и́менно	namely	Необходимо отметить, что производство вертолета Ка-226 будет осуществляться как в России, так и в Украине, а именно на нашем предприятии.	It should be noted the Ka-226 helicopter will be manufactured both in Russia and Ukraine, and namely by our company.
143	4501	желе́зная доро́га	railway	Мой дом стоял возле железной дороги.	My house was next to the railway.
144	4452	уголо́вное де́ло	criminal case, criminal trial	Всем известно, что уголовное дело в отношении нашего соратника полностью сфабриковано.	Everyone knows that the criminal case against our colleague has been completely fabricated.
145	4450	госуда́рственная власть	government	У вас есть право обжаловать действия органов государственной власти в суде.	You have the right to appeal against the government's actions in court.
146	4447	в соста́ве	as part	Тогда я гастролировала в составе труппы Большого театра.	At the time I was on tour as part of the Bolshoi Theatre group.
147	4395	е́сли же	if	Если потереть магнит чесноком, его сила исчезнет; если же помазать магнит кровью козла, его сила восстанавливается.	If you rub a magnet with garlic, it loses its magnetism; if you rub it with the blood of a goat, then its gets its magnetism back.
148	4358	в сре́днем	on average	Слабый пол в среднем живет на 12 лет дольше.	The weaker sex lives on average 12 years longer.
149	4303	боевые де́йствия	military action	Разгром армии не означал конца боевых действий.	The defeat of our army did not mean the end of military action.
150	4229	высшей сте́пени	extremely, utmost	Его  все знали как человека в высшей степени достойного.	He was known by everyone as a man of utmost dignity.
151	4184	не дай Бог	God forbid	Не дай бог, об этом узнает муж.	God forbid that my husband finds out about this.
152	4183	то́тчас же	right now, immediately	Банкиры тотчас же стали скупать облигации.	Bankers immediately started buying bonds.
153	4178	едва́ ли не	perhaps	Он знаменитый, едва ли не самый крупный русский историк.	He's a famous, perhaps the greatest Russian historian.
154	4174	каза́лось бы	it would seem	Хотя, казалось бы, он просто обязан был победить.	Although, as it would seem, he simply had to win.
155	4103	по слова́м	in the words	Все произошло, по словам потерпевшей, среди бела дня.	In the words of the victim everything happened in broad daylight.
156	4083	как говори́тся	as they say	Время - деньги, как говорится.	As they say, time is money.
157	4053	права́ челове́ка	human rights	В чем же здесь нарушение прав человека?	How have human rights been violated here?
158	4014	на пра́ктике	in practice	На практике это осуществить пока невозможно.	In practice, it is for the time being impossible to implement.
159	3992	мягко говоря	to put it mildly	Она его, мягко говоря, недолюбливает.	To put it mildly, she doesn't like him.
160	3986	вне зави́симости от	regardless of	Из одежды покупаю, что нравится, вне зависимости от фирмы и имени.	I buy clothes that I like, regardless of the brand or name.
161	3966	в настоящее вре́мя	at present	В настоящее время невозможно подсчитать стоимость необходимой гуманитарной помощи.	At present it is impossible to calculate the cost of the humanitarian aid that is required.
162	3949	к ме́сту	appropriate, in place	Это было бессмысленно, совсем не к месту.	It was pointless, completely inappropriate.
163	3930	как изве́стно	as is known	Депутаты, как известно, на метро не ездят.	As you know, MPs don't use the metro.
164	3927	ба́за да́нных	database	Клинические данные были получены из базы данных Федерального центра по профилактике и борьбе со СПИДом.	Clinical data were obtained from the database of the Federal Centre for Control and Prevention of AIDS.
165	3911	ну ла́дно	right then, well okay	Ну ладно, мне не так срочно это нужно.	Well, okay: I don't need this right now.
166	3903	обще́ственное мне́ние	public opinion	Мы вынуждены были пойти на это из-за давления общественного мнения.	We were forced to do this due to public pressure.
167	3788	по ме́ньшей ме́ре	at the very least, at least	Это, по меньшей мере, звучит нескромно. / За это время поменялось по меньшей мере пять министров.	This at the very least sounds immodest. / At least five ministers changed post during that time.
168	3783	информацио́нные техно́логии	information technology	В области информационных технологий наш вуз занимает ведущее положение в республике.	Our university is one of the leaders in the country in the field of information technology.
169	3757	в кра́йнем случае	as a last resort	В крайнем случае можно спать и на ходу.	As a last resort you can sleep on the move.
170	3744	по вопро́сам	regarding, about	Специалисты проконсультируют по вопросам строительства, интерьера, садоводства и огородничества.	Experts will give advice about construction, interior design, gardening and horticulture.
171	3733	опла́та труда́	wage	То же самое касается оплаты труда в ночные часы.	The same applies to wages for night shifts.
172	3721	гражда́нская война́	civil war	Еще одной гражданской войны мы не выдержим.	We can't endure another civil war.
173	3711	до свида́ния	goodbye	Hy, мне пора, до свидания.	Well, it's time for me to go. Goodbye.
174	3711	соверше́нно не	at all, whatsoever	Ты меня совершенно не слушаешь.	You're not listening to me at all.
175	3700	че́стное сло́во	honest word	Я ему дала честное слово, что больше это никогда не повторится.	I gave him my honest word that it would never happen again.
176	3686	есть ли	is there	Их спросили, есть ли среди них художники.	They were asked whether there were any artists among them.
177	3667	рабо́чие места́	jobs	Это сокращение числа рабочих мест стало самым значительным с марта прошлого года.	This round of job cuts was the most significant since that of March last year.
178	3652	вме́сте с тем	at the same time	Он был грубоват, но вместе с тем отзывчив, щедр.	He was quite rude, but at the same time sympathetic and generous.
179	3647	пе́рвым де́лом	first(ly), first of all	Когда я просыпаюсь, первым делом включаю компьютер.	When I wake up, the first thing I do is turn the computer on.
180	3637	бо́льшей ча́стью	for the most part	Люди были большей частью незнакомые.	The people were for the most part unknown.
181	3622	ва́жная роль	important role	Дважды он сыграл важную роль в моей спортивной судьбе.	Twice he's played an important role in my sporting life.
182	3594	вне́шний вид	(external) appearance	Это не только портит внешний вид, но и снижает прочность изделия.	It not only spoils the appearance of the product, it also reduces its durability.
183	3593	подо́бного ро́да	similar type, of the like, such	Я пришел на подобного рода мероприятие впервые.	It was the first time that I'd attended such an event.
184	3575	на глаза́х	before one's eyes	В этот момент  на глазах у толпы случилось нечто невероятное.	At that moment something incredible unfolded before the crowd's eyes.
185	3572	обще́ственная организа́ция	non-profit-making organisation, NGO	Мы ничего не скрываем, наши двери открыты, в том числе для общественных организаций.	We have nothing to hide; our doors are open to all, including NGOs.
186	3567	за рулём	at the wheel, driving	- Кофе? Может, коньяк?- Спасибо, я за рулем.	Coffee? Maybe a brandy?
187	3541	коро́че говоря	to cut a long story short, in brief	Но в то же время тайной для него оставались ее профессия, семейное положение, образование - короче говоря, все сугубо личное.	At the same time, her occupation, marital status, education - in short, all personal information - remained a mystery to him.
188	3391	высо́кий у́ровень	high level	Концерт не оправдал ожиданий, несмотря на высокий уровень профессионализма музыкантов.	The concert didn't live up to expectations, despite the musicians' high level of professionalism.
189	3373	что и́менно	what on earth, what exactly	Он сможет внятно объяснить, что именно его не устраивает?	Will he be able to clearly explain what exactly he doesn't like?
190	3369	су́дя по всему́	judging by everything, by all accounts	Однако, судя по всему, ситуация выходит из-под контроля.	However, the situation is by all accounts getting out of control.
191	3360	с друго́й стороны	on the other hand	С другой стороны, возрастет число внебрачных детей.	On the other hand, there will be an increase in the number of illegitimate children.
192	3348	свобо́дное вре́мя	free time	В свободное время мы занимаемся спортом.	We play sport in our free time.
193	3325	в душе́	in spirit, at heart	Он остался в душе молодым.	He has remained young at heart.
194	3316	в любо́м слу́чае	one way or another, in any case	Мы в этой гонке в любом случае окажемся среди победителей.	One way or another we will finish this race among the winners.
195	3293	к сча́стью	fortunately	Еще, к счастью, у меня есть любимая работа.	But, fortunately, I have a job that I like.
196	3292	в ожида́нии	in waiting, in anticipation	Все замерли в ожидании выстрела.	Everyone froze waiting for the gun shot.
197	3210	то вре́мя как	while	Женщины, живущие в гражданском браке, считают себя замужем, в то время как их партнёры утверждают, что свободны.	Women living in a civil partnership consider themselves to be married, while their partners claim to be single.
198	3203	по при́нципу	according to the principle	Обычно я действую по принципу: если нельзя, но очень хочется, то можно.	I usually go by the principle: if you can't, but you want to, then you can.
199	3202	в плен	into captivity	В августе 42-го он попал в плен.	He was taken captive in August 1942.
200	3202	в ито́ге	in sum, in the end	Думаю, в итоге будет найден разумный компромисс.	I think that in the end a reasonable compromise will found.
201	3192	ли́шний раз	again, once again	Этот пример лишний раз показывает, что не стоит заниматься самолечением.	This example shows once again that self-medication is not worth the risk.
202	3163	с удивле́нием	with surprise	На них с удивлением смотрят прохожие.	Passers-by are looking at them with surprise.
203	3148	без исключе́ния	without exception	Налоговая политика должна быть одинаковой для всех предприятий без исключения.	Tax policy should be the same for all companies without exception.
204	3134	вое́нные де́йствия	military action	Это привело к началу военных действий.	It led to the start of military action.
205	3119	дава́ть возмо́жность	allow	Это дает возможность планировать свой бюджет.	It allows you to plan your budget.
206	3117	на сего́дняшний день	currently, for the moment	Это, пожалуй, самая больная тема на сегодняшний день.	This is perhaps the most touchy subject at the moment.
207	3111	име́ть в виду́	have in mind, mean	Вы понимаете, что я имею в виду?	Do you know what I have in mind?
208	3101	сове́тская власть	Soviet rule	Во время советской власти этот талант не был востребован.	During Soviet rule this talent wasn't called for.
209	3099	по пути́	on the way	По пути домой я выпил кружку пива.	I had a beer on the way home.
210	3096	по зако́ну	according to the law, the law states	По закону казино обязано немедленно выплатить игроку любой выигрыш.	The law states that a casino must pay gamblers their winnings immediately.
211	3083	на по́мощь	help, for help	Что же ты не позвала на помощь?	Why didn't you call for help?
212	3066	при́нять реше́ние	make a decision	Он принял решение не возвращаться в Москву.	He made the decision not to return to Moscow.
213	3059	в после́днее вре́мя	recently, of late	Такое в последнее время редко бывает.	Of late this has rarely happened.
214	3041	по плечу́	up to, capable of	Этим строителям по плечу объекты любой сложности.	These builders can cope with any job no matter how hard it is.
215	3040	по о́череди	in turn	Давай теперь мыть посуду по очереди.	Let's take it in turns to wash the dishes.
216	3039	по определе́нию	by definition	У этой модели более слабый двигатель, поэтому она, по определению, стоит меньше.	This model has a less powerful engine and is therefore, by definition, cheaper.
217	3038	да́же е́сли	even if	Вы меня разбудите, даже если я буду ругаться и сопротивляться.	Wake me up even if I swear and resist.
218	2977	в повседне́вной жи́зни	in everyday life, as a day-to day routine	В повседневной жизни она носит практичную одежду.	She wears practical clothing in her day-to-day life.
219	2954	в ку́рсе	in the loop, aware	Мы были в курсе дел друг друга.	We were aware what each other was doing.
220	2946	несмотря на	despite	Спрос на их продукцию падает, несмотря на то, что они снизили цены.	Demand for their products is on the decline, despite them lowering prices.
221	2938	в поко́е	in peace, alone	Оставь меня в покое!	Leave me alone!
222	2933	сре́дства ма́ссовой информа́ции	mass media	Я знал о своих недругах и их попытках очернить меня через средства массовой информации.	I knew about my enemies and their attempts to discredit me in the media.
223	2926	в реа́льной жи́зни	in real life	В реальной жизни дело обстоит как раз наоборот.	Things are the other way round in real life.
224	2922	с ра́достью	with pleasure, happily	Я с радостью вернулась в Петербург.	I happily returned to St. Petersburg.
225	2919	на нога́х	on one's feet	Давайте сядем, я весь день на ногах.	Let's sit down. I've been on my feet all day.
